onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file	trial_index
0.098	2.017	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a	1
5.025	0.963	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg	1
6.292	0.968	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg	2
7.576	1.178	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_474.jpg	3
9.06	1.102	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_438.jpg	4
10.477	1.079	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_364.jpg	5
11.861	0.91	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg	6
13.078	1.002	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg	7
14.395	1.041	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_132.jpg	8
17.537	2.101	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a	9
22.548	1.268	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg	9
24.132	1.172	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg	10
25.616	1.687	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg	11
27.617	1.371	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg	12
29.301	1.136	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg	13
30.751	1.336	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg	14
32.402	0.901	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_167.jpg	15
33.619	1.269	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_019.jpg	16
36.645	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a	17
41.655	1.019	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg	17
42.989	0.952	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg	18
44.256	1.202	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg	19
45.774	0.818	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg	20
46.907	1.352	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg	21
48.575	1.029	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg	22
49.909	1.035	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg	23
51.259	1.144	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg	24
55.618	2.101	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a	25
60.629	0.785	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg	25
61.73	0.801	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg	26
62.847	0.873	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg	27
64.03	0.923	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg	28
65.264	0.869	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg	29
66.448	0.906	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg	30
67.665	0.838	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg	31
68.816	1.105	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg	32
73.142	2.101	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a	33
78.152	1.185	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg	33
79.653	0.985	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg	34
80.953	1.118	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg	35
82.387	1.168	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg	36
83.871	1.652	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_443.jpg	37
85.839	1.302	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg	38
87.456	0.968	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg	39
88.74	1.347	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_170.jpg	40
95.633	2.101	tomspunt	helping?	block_question_presentation	n/a	n/a	n/a	n/a	41
100.644	1.252	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_077.jpg	41
102.211	1.018	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_349.jpg	42
103.545	1.219	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_474.jpg	43
105.079	1.341	tomspunt	helping?	why_hand	no	yes	incorrect	task-tomspunt/H_024.jpg	44
106.73	1.402	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_012.jpg	45
108.447	1.206	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_159.jpg	46
109.964	1.019	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_111.jpg	47
111.298	1.323	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_091.jpg	48
113.507	2.101	tomspunt	proud?	block_question_presentation	n/a	n/a	n/a	n/a	49
118.517	1.52	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_598.jpg	49
120.351	0.969	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_760.jpg	50
121.635	0.836	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_582.jpg	51
122.786	0.985	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_412.jpg	52
124.086	1.285	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_083.jpg	53
125.687	1.035	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_776.jpg	54
127.037	1.352	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_618.jpg	55
128.705	n/a	tomspunt	proud?	why_face	n/a	yes	incorrect	task-tomspunt/F_695.jpg	56
131.03	2.101	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a	57
136.041	1.101	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_590.jpg	57
137.458	0.819	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_433.jpg	58
138.592	0.846	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_716.jpg	59
139.742	1.369	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_779.jpg	60
141.426	1.319	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_760.jpg	61
143.06	0.961	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_111.jpg	62
144.327	1.435	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_110.jpg	63
146.078	0.859	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_798.jpg	64
150.137	2.101	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a	65
155.148	1.089	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_716.jpg	65
156.548	1.085	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_139.jpg	66
