onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
0.092	2.017	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a	1
5.02	1.35	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg	1
6.67	0.766	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg	2
7.738	0.019	tomspunt	smiling?	how_face	no	yes	incorrect	task-tomspunt/F_593.jpg	3
8.071	0.635	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg	4
9.021	0.854	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg	5
10.188	0.58	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg	6
11.072	0.685	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg	7
12.072	0.619	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg	8
17.849	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a	9
22.86	0.643	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg	9
23.81	0.592	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg	10
24.711	0.701	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg	11
25.728	0.674	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg	12
26.711	0.707	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg	13
27.728	0.707	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg	14
28.745	0.685	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg	15
29.746	0.89	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg	16
36.906	2.101	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a	17
41.917	1.419	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg	17
43.651	1.035	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg	18
