onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file	trial_index
0.068	2.051	tomspunt	reaching?	block_question_presentation	n/a	n/a	n/a	n/a	1
5.028	1.351	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg	1
6.679	1.436	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg	2
8.43	1.236	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_474.jpg	3
9.98	1.842	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_438.jpg	4
12.014	0.02	tomspunt	reaching?	how_hand	no	yes	incorrect	task-tomspunt/H_364.jpg	5
12.348	1.049	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg	6
13.698	0.951	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg	7
14.965	0.018	tomspunt	reaching?	how_hand	yes	no	incorrect	task-tomspunt/H_132.jpg	8
17.541	2.101	tomspunt	healthy?	block_question_presentation	n/a	n/a	n/a	n/a	9
22.552	1.294	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg	9
24.152	1.882	tomspunt	healthy?	why_hand	no	yes	incorrect	task-tomspunt/H_438.jpg	10
26.186	0.027	tomspunt	healthy?	why_hand	no	yes	incorrect	task-tomspunt/H_364.jpg	11
26.52	1.585	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg	12
28.421	1.025	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg	13
29.754	1.341	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg	14
31.405	0.924	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_167.jpg	15
32.639	1.307	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_019.jpg	16
36.648	2.101	tomspunt	admiring?	block_question_presentation	n/a	n/a	n/a	n/a	17
41.659	0.954	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_779.jpg	17
42.926	1.003	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_593.jpg	18
44.243	0.886	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_110.jpg	19
45.444	0.752	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_590.jpg	20
46.511	0.985	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_692.jpg	21
47.811	0.635	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_759.jpg	22
48.762	0.735	tomspunt	admiring?	why_face	yes	yes	correct	task-tomspunt/F_648.jpg	23
49.812	1.018	tomspunt	admiring?	why_face	no	no	correct	task-tomspunt/F_129.jpg	24
55.622	2.084	tomspunt	smiling?	block_question_presentation	n/a	n/a	n/a	n/a	25
60.616	1.385	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_139.jpg	25
62.317	0.835	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_712.jpg	26
63.467	0.652	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_695.jpg	27
64.434	0.718	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_758.jpg	28
65.468	0.635	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_083.jpg	29
66.418	0.718	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_759.jpg	30
67.452	0.802	tomspunt	smiling?	how_face	no	no	correct	task-tomspunt/F_412.jpg	31
68.569	0.861	tomspunt	smiling?	how_face	yes	yes	correct	task-tomspunt/F_593.jpg	32
73.145	2.101	tomspunt	lifting?	block_question_presentation	n/a	n/a	n/a	n/a	33
78.156	0.94	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_136.jpg	33
79.406	1.285	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg	34
81.007	0.939	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg	35
82.258	1.055	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg	36
83.625	0.888	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg	37
84.825	0.921	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg	38
86.059	0.754	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg	39
87.126	0.937	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_170.jpg	40
