onset	duration	subtask_type	event_type	value	response_accuracy	stim_file	participant_response	reaction_time
7.929	1.034	memory	dummy	study_dummy	n/a	task-memory/obj022bell.png	n/a	n/a
9.98	1.034	memory	dummy	study_dummy	n/a	task-memory/obj107flower.png	n/a	n/a
12.03	1.034	memory	dummy	study_dummy	n/a	task-memory/obj117ghost.png	n/a	n/a
14.081	1.034	memory	study	study	n/a	task-memory/obj284spoon.png	n/a	n/a
16.132	1.034	memory	study	study	n/a	task-memory/obj272skunk.png	n/a	n/a
18.183	1.017	memory	study	study	n/a	task-memory/obj019basket.png	n/a	n/a
20.233	1.017	memory	study	study	n/a	task-memory/obj325vest.png	n/a	n/a
22.284	1.017	memory	study	study	n/a	task-memory/obj199onion.png	n/a	n/a
24.318	1.017	memory	study	study	n/a	task-memory/obj115funnel.png	n/a	n/a
26.352	1.017	memory	study	study	n/a	task-memory/obj068cork.png	n/a	n/a
28.386	1.017	memory	study	study	n/a	task-memory/obj070cow.png	n/a	n/a
30.421	1.017	memory	study	study	n/a	task-memory/obj144hose.png	n/a	n/a
32.455	1.017	memory	study	study	n/a	task-memory/obj058chest.png	n/a	n/a
34.489	1.017	memory	study	study	n/a	task-memory/obj015bandaid.png	n/a	n/a
36.523	1.017	memory	study	study	n/a	task-memory/obj250rope.png	n/a	n/a
38.557	1.017	memory	study	study	n/a	task-memory/obj034bowl.png	n/a	n/a
40.591	1.017	memory	study	study	n/a	task-memory/obj170lipstick.png	n/a	n/a
42.625	1.017	memory	study	study	n/a	task-memory/obj201owl.png	n/a	n/a
44.659	1.017	memory	study	study	n/a	task-memory/obj081dinosaur.png	n/a	n/a
46.693	1.017	memory	study	study	n/a	task-memory/obj055chair.png	n/a	n/a
48.727	1.017	memory	study	study	n/a	task-memory/obj268sink.png	n/a	n/a
50.762	1.017	memory	study	study	n/a	task-memory/obj298tennisracket.png	n/a	n/a
52.796	1.017	memory	study	study	n/a	task-memory/obj236raccoon.png	n/a	n/a
54.83	1.034	memory	dummy	study_dummy	n/a	task-memory/obj142hook.png	n/a	n/a
56.88	1.017	memory	dummy	study_dummy	n/a	task-memory/obj148jack.png	n/a	n/a
58.915	1.017	memory	dummy	study_dummy	n/a	task-memory/obj300thermos.png	n/a	n/a
71.036	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
99.096	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
127.157	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
155.217	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
188.713	1.194	memory	test	test_new	incorrect	task-memory/obj185moon.png	old	n/a
191.531	0.729	memory	test	test_old	correct	task-memory/obj015bandaid.png	old	n/a
194.065	0.608	memory	test	test_old	correct	task-memory/obj236raccoon.png	old	n/a
196.749	0.717	memory	test	test_new	correct	task-memory/obj312tree.png	new	n/a
199.434	1.198	memory	test	test_old	correct	task-memory/obj170lipstick.png	old	n/a
202.468	0.615	memory	test	test_new	incorrect	task-memory/obj249rooster.png	old	n/a
205.436	1.138	memory	test	test_new	incorrect	task-memory/obj098fan.png	old	n/a
208.454	1.307	memory	test	test_new	correct	task-memory/obj031book.png	new	n/a
211.055	0.858	memory	test	test_new	incorrect	task-memory/obj264shark.png	old	n/a
214.006	0.655	memory	test	test_old	correct	task-memory/obj081dinosaur.png	old	n/a
216.873	0.81	memory	test	test_old	correct	task-memory/obj115funnel.png	old	n/a
219.891	1.032	memory	test	test_old	incorrect	task-memory/obj058chest.png	new	n/a
222.509	0.594	memory	test	test_old	correct	task-memory/obj325vest.png	old	n/a
225.377	0.625	memory	test	test_old	correct	task-memory/obj298tennisracket.png	old	n/a
228.161	0.628	memory	test	test_old	correct	task-memory/obj055chair.png	old	n/a
230.729	0.786	memory	test	test_new	correct	task-memory/obj079desk.png	new	n/a
233.463	0.619	memory	test	test_old	correct	task-memory/obj034bowl.png	old	n/a
236.247	0.717	memory	test	test_old	correct	task-memory/obj199onion.png	old	n/a
239.232	0.916	memory	test	test_old	incorrect	task-memory/obj268sink.png	new	n/a
242.049	0.734	memory	test	test_old	incorrect	task-memory/obj144hose.png	new	n/a
245.001	0.98	memory	test	test_new	correct	task-memory/obj146igloo.png	new	n/a
247.968	0.907	memory	test	test_old	correct	task-memory/obj250rope.png	old	n/a
250.769	0.785	memory	test	test_old	correct	task-memory/obj019basket.png	old	n/a
253.637	0.807	memory	test	test_new	correct	task-memory/obj090drum.png	new	n/a
256.588	0.553	memory	test	test_new	incorrect	task-memory/obj205pan.png	old	n/a
259.456	0.769	memory	test	test_new	correct	task-memory/obj334wheel.png	new	n/a
262.124	0.771	memory	test	test_old	incorrect	task-memory/obj068cork.png	new	n/a
264.991	0.781	memory	test	test_old	correct	task-memory/obj070cow.png	old	n/a
267.959	1.049	memory	test	test_new	incorrect	task-memory/obj238rain.png	old	n/a
270.827	1.288	memory	test	test_new	correct	task-memory/obj330watch.png	new	n/a
273.445	0.653	memory	test	test_new	incorrect	task-memory/obj319typewriter.png	old	n/a
276.196	0.507	memory	test	test_old	correct	task-memory/obj284spoon.png	old	n/a
279.013	0.902	memory	test	test_new	correct	task-memory/obj323vacuum.png	new	n/a
281.931	0.878	memory	test	test_new	incorrect	task-memory/obj196nose.png	old	n/a
284.949	1.505	memory	test	test_new	correct	task-memory/obj223pirate.png	new	n/a
287.883	0.662	memory	test	test_old	correct	task-memory/obj272skunk.png	old	n/a
290.584	0.598	memory	test	test_old	correct	task-memory/obj201owl.png	old	n/a
293.419	0.85	memory	test	test_new	incorrect	task-memory/obj308toothbrush.png	old	n/a
296.27	0.72	memory	test	test_new	correct	task-memory/obj210peacock.png	new	n/a
299.021	0.974	memory	test	test_new	incorrect	task-memory/obj014banana.png	old	n/a
308.191	1.017	memory	dummy	study_dummy	n/a	task-memory/obj001accordion.png	n/a	n/a
310.225	1.017	memory	dummy	study_dummy	n/a	task-memory/obj010baby.png	n/a	n/a
312.259	1.017	memory	dummy	study_dummy	n/a	task-memory/obj028boat.png	n/a	n/a
314.293	1.017	memory	study	study	n/a	task-memory/obj209paperclip.png	n/a	n/a
316.327	1.017	memory	study	study	n/a	task-memory/obj207pants.png	n/a	n/a
318.361	1.017	memory	study	study	n/a	task-memory/obj042cactus.png	n/a	n/a
320.395	1.017	memory	study	study	n/a	task-memory/obj003alligator.png	n/a	n/a
322.429	1.034	memory	study	study	n/a	task-memory/obj040butterfly.png	n/a	n/a
324.48	1.034	memory	study	study	n/a	task-memory/obj096eskimo.png	n/a	n/a
326.531	1.034	memory	study	study	n/a	task-memory/obj083dog.png	n/a	n/a
328.582	1.017	memory	study	study	n/a	task-memory/obj246rockingchair.png	n/a	n/a
330.633	1.017	memory	study	study	n/a	task-memory/obj159knot.png	n/a	n/a
332.667	1.017	memory	study	study	n/a	task-memory/obj178mask.png	n/a	n/a
334.717	1.017	memory	study	study	n/a	task-memory/obj295teapot.png	n/a	n/a
336.751	1.017	memory	study	study	n/a	task-memory/obj257saw.png	n/a	n/a
338.786	1.017	memory	study	study	n/a	task-memory/obj254safe.png	n/a	n/a
340.82	1.017	memory	study	study	n/a	task-memory/obj253saddle.png	n/a	n/a
342.854	1.017	memory	study	study	n/a	task-memory/obj315trumpet.png	n/a	n/a
344.888	1.017	memory	study	study	n/a	task-memory/obj225pizza.png	n/a	n/a
346.922	1.017	memory	study	study	n/a	task-memory/obj126gun.png	n/a	n/a
348.956	1.017	memory	study	study	n/a	task-memory/obj317turtle.png	n/a	n/a
350.99	1.017	memory	study	study	n/a	task-memory/obj316turkey.png	n/a	n/a
353.024	1.017	memory	study	study	n/a	task-memory/obj162lawnmower.png	n/a	n/a
355.058	1.017	memory	dummy	study_dummy	n/a	task-memory/obj066dime.png	n/a	n/a
357.092	1.017	memory	dummy	study_dummy	n/a	task-memory/obj077deer.png	n/a	n/a
359.126	1.017	memory	dummy	study_dummy	n/a	task-memory/obj303tiger.png	n/a	n/a
371.281	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
399.358	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
427.419	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
455.479	25.0	memory	distraction_math	math	n/a	n/a	n/a	n/a
489.125	1.144	memory	test	test_old	incorrect	task-memory/obj042cactus.png	new	n/a
491.776	1.098	memory	test	test_new	correct	task-memory/obj194nest.png	new	n/a
494.694	0.629	memory	test	test_old	correct	task-memory/obj040butterfly.png	old	n/a
497.461	1.088	memory	test	test_new	correct	task-memory/obj156kite.png	new	n/a
500.362	0.957	memory	test	test_new	incorrect	task-memory/obj333whale.png	old	n/a
503.197	0.752	memory	test	test_new	correct	task-memory/obj267shower.png	new	n/a
506.131	1.17	memory	test	test_new	incorrect	task-memory/obj183mirror.png	old	n/a
508.866	0.707	memory	test	test_new	correct	task-memory/obj088drawer.png	new	n/a
